Annee;Region;Province;Culture;Production (t);Stock;Disponibilite;Population;PDI;Pop_tot;Disponibilite/tete;Equivalent Kcal;Besoin Kcal
2021;Boucle du Mouhoun;Banwa;NIEBE;11939;;11939;359548;29540;371487;0,032138406;109591,9642;
2021;Boucle du Mouhoun;Kossi;NIEBE;15628;;15628;369317;245460;384945;0,040598008;138439,2056;
2021;Boucle du Mouhoun;Mouhoun;NIEBE;12643;;12643;406243;14635;418886;0,030182436;102922,1077;
2021;Boucle du Mouhoun;Nayala;NIEBE;6252;;6252;231239;4881;237491;0,026325208;89768,95967;
2021;Boucle du Mouhoun;Sourou;NIEBE;11790;;11790;294417;124864;306207;0,038503365;131296,4759;
2021;Cascades;Comoé;NIEBE;13072;;13072;669676;138814;682748;0,019146156;65288,39338;
2021;Cascades;Léraba;NIEBE;2862;;2862;187214;960;190076;0,015057135;51344,83049;
2021;Centre;Kadiogo;NIEBE;12381;;12381;3233764;12612;3246145;0,003814063;13005,95322;
2021;Centre Est;Boulgou;NIEBE;12962;;12962;767642;68296;780604;0,01660509;56623,35832;
2021;Centre Est;Koulpélgo;NIEBE;3022;;3022;378711;64558;381733;0,007916528;26995,36063;
2021;Centre Est;Kouritenga;NIEBE;21557;;21557;500878;253013;522435;0,041262549;140705,2935;
2021;Centre Nord;Bam;NIEBE;11617;;11617;499530;883346;511147;0,022727317;77500,15162;
2021;Centre Nord;Namentenga;NIEBE;5922;;5922;537150;1006753;543072;0,010904631;37184,79318;
2021;Centre Nord;Sanmatenga;NIEBE;34255;;34255;922771;3909532;957026;0,035793176;122054,73;
2021;Centre Ouest;Boulkièmdé;NIEBE;25149;;25149;714501;4680;739650;0,034001217;115944,1493;
2021;Centre Ouest;Sanguié;NIEBE;17039;;17039;405034;15594;422073;0,040369794;137660,997;
2021;Centre Ouest;Sissili;NIEBE;3396;;3396;353446;59708;356842;0,009516817;32452,34586;
2021;Centre Ouest;Ziro;NIEBE;6502;;6502;252954;112560;259456;0,025060126;85455,02898;
2021;Centre Sud;Bazèga;NIEBE;10650;;10650;288437;12542;299087;0,035608368;121424,5353;
2021;Centre Sud;Nahouri;NIEBE;3599;;3599;203077;16256;206676;0,01741373;59380,81829;
2021;Centre Sud;Zoundweogo;NIEBE;8836;;8836;323060;20840;331896;0,026622798;90783,73948;
2021;Est;Gnagna;NIEBE;4962;;4962;709308;101948;714270;0,006946953;23689,10916;
2021;Est;Gourma;NIEBE;12780;;12780;457042;833297;469822;0,027201791;92758,10839;
2021;Est;Komandjoari;NIEBE;1263;;1263;110727;226864;111990;0,011277793;38457,27297;
2021;Est;Kompienga;NIEBE;1252;;1252;125074;135198;126326;0,009910866;33796,05149;
2021;Est;Tapoa;NIEBE;6652;;6652;639452;91737;646104;0,010295556;35107,84641;
2021;Hauts Bassins;Houet;NIEBE;20022;;20022;1586697;168415;1606719;0,01246142;42493,4416;
2021;Hauts Bassins;Kénédougou;NIEBE;4900;;4900;418468;39274;423368;0,011573855;39466,84681;
2021;Hauts Bassins;Tuy;NIEBE;10664;;10664;344655;65421;355319;0,030012468;102342,5148;
2021;Nord;Loroum;NIEBE;1495;;1495;206181;565421;207676;0,007198713;24547,61263;
2021;Nord;Passoré;NIEBE;22686;;22686;475005;42846;497691;0,0455825;155436,3249;
2021;Nord;Yatenga;NIEBE;28231;;28231;860286;786532;888517;0,031773168;108346,5032;
2021;Nord;Zondoma;NIEBE;4925;;4925;250224;17141;255149;0,019302447;65821,34361;
2021;Plateau Central;Ganzourgou;NIEBE;15535;;15535;502945;57433;518480;0,029962583;102172,4078;
2021;Plateau Central;Kourwéogo;NIEBE;9231;;9231;187312;16924;196543;0,046966822;160156,8613;
2021;Plateau Central;Oubritenga;NIEBE;11156;;11156;325725;112717;336881;0,033115551;112924,0296;
2021;Sahel;Oudalan;NIEBE;3562;;3562;162068;876663;165630;0,021505766;73334,6616;
2021;Sahel;Séno;NIEBE;2488;;2488;422690;1279977;425178;0,005851667;19954,18389;
2021;Sahel;Soum;NIEBE;5642;;5642;375398;3082603;381040;0,014806844;50491,33949;
2021;Sahel;Yagha;NIEBE;1178;;1178;177309;139362;178487;0,00659992;22505,72871;
2021;Sud Ouest;Bougouriba;NIEBE;8273;;8273;160594;15258;168867;0,048991218;167060,0532;
2021;Sud Ouest;Ioba;NIEBE;3056;;3056;275633;5426;278689;0,010965628;37392,79268;
2021;Sud Ouest;Noumbiel;NIEBE;3710;;3710;103249;30252;106959;0,034686188;118279,9016;
2021;Sud Ouest;Poni;NIEBE;15197;;15197;371666;84025;386863;0,03928264;133953,8028;
2022;Boucle du Mouhoun;Balé;MIL;10660,43457;;10660,43457;317681;131348;328341,4346;0,032467528;110714,269;
2022;Boucle du Mouhoun;Banwa;MIL;35800,33649;;35800,33649;368627;21917;404427,3365;0,08852106;309823,7098;
2022;Boucle du Mouhoun;Kossi;MIL;94217,0645;;94217,0645;378329;199525;472546,0645;0,199381757;697836,1488;
2022;Boucle du Mouhoun;Mouhoun;MIL;63388,66011;;63388,66011;416756;29126;480144,6601;0,132019921;462069,7236;
2022;Boucle du Mouhoun;Nayala;MIL;36550,76845;;36550,76845;237102;4168;273652,7685;0,133566229;467481,8029;
2022;Boucle du Mouhoun;Sourou;MIL;25303,81588;;25303,81588;301421;141049;326724,8159;0,077446875;271064,0615;
2022;Cascades;Comoé;MIL;1146,965967;;1146,965967;693374;132965;694520,966;0,001651449;5780,071564;
2022;Cascades;Léraba;MIL;4774,565819;;4774,565819;192575;1336;197349,5658;0,024193445;84677,05666;
2022;Centre;Kadiogo;MIL;6644,210864;;6644,210864;3362048;35474;3368692,211;0,001972341;6903,194643;
2022;Centre Est;Boulgou;MIL;16222,31015;;16222,31015;788568;55844;804790,3101;0,020157189;70550,16046;
2022;Centre Est;Koulpélgo;MIL;15919,12428;;15919,12428;389720;41917;405639,1243;0,039244548;137355,9197;
2022;Centre Est;Kouritenga;MIL;4016,490835;;4016,490835;515242;221022;519258,4908;0,007735051;27072,678;
2022;Centre Nord;Bam;MIL;9161,943643;;9161,943643;515230;723749;524391,9436;0,017471557;61150,4489;
2022;Centre Nord;Namentenga;MIL;16158,4881;;16158,4881;553051;962153;569209,4881;0,028387594;99356,58056;
2022;Centre Nord;Sanmatenga;MIL;26428,38006;;26428,38006;948996;2494166;975424,3801;0,027094238;94829,83212;
2022;Centre Ouest;Boulkièmdé;MIL;22803,74015;;22803,74015;732470;6056;755273,7401;0,030192682;105674,3883;
2022;Centre Ouest;Sanguié;MIL;55395,3514;;55395,3514;414903;28155;470298,3514;0,117787679;412256,8776;
2022;Centre Ouest;Sissili;MIL;15019,52106;;15019,52106;364430;52105;379449,5211;0,039582396;138538,3846;
2022;Centre Ouest;Ziro;MIL;11087,05327;;11087,05327;260560;106193;271647,0533;0,040814186;142849,6499;
2022;Centre Sud;Bazèga;MIL;7509,192319;;7509,192319;294482;9775;301991,1923;0,0248656;87029,60147;
2022;Centre Sud;Nahouri;MIL;8150,094516;;8150,094516;208297;10818;216447,0945;0,03765398;131788,9292;
2022;Centre Sud;Zoundweogo;MIL;21447,59355;;21447,59355;331085;17138;352532,5935;0,060838612;212935,1407;
2022;Est;Gnagna;MIL;32395,65135;;32395,65135;731329;77803;763724,6514;0,042417973;148462,9042;
2022;Est;Gourma;MIL;23831,48591;;23831,48591;470498;734244;494329,4859;0,04820972;168734,0186;
2022;Est;Komandjoari;MIL;1437,710075;;1437,710075;114167;181083;115604,7101;0,012436432;43527,51077;
2022;Est;Kompienga;MIL;1767,224862;;1767,224862;129788;120686;131555,2249;0,013433331;47016,65802;
2022;Est;Tapoa;MIL;23864,87313;;23864,87313;661426;82363;685290,8731;0,034824443;121885,5514;
2022;Hauts Bassins;Houet;MIL;23817,50248;;23817,50248;1637299;186718;1661116,502;0,014338249;50183,87245;
2022;Hauts Bassins;Kénédougou;MIL;2500,411209;;2500,411209;431023;32011;433523,4112;0,00576765;20186,77425;
2022;Hauts Bassins;Tuy;MIL;13637,98853;;13637,98853;355090;64005;368727,9885;0,036986583;129453,0422;
2022;Nord;Loroum;MIL;6894,67565;;6894,67565;211780;496807;218674,6756;0,031529374;110352,8093;
2022;Nord;Passoré;MIL;11442,19311;;11442,19311;487270;29131;498712,1931;0,02294348;80302,17918;
2022;Nord;Yatenga;MIL;25210,18088;;25210,18088;884192;1032509;909402,1809;0,027721707;97025,9748;
2022;Nord;Zondoma;MIL;6433,216929;;6433,216929;257295;17688;263728,2169;0,024393358;85376,75458;
2022;Plateau Central;Ganzourgou;MIL;15066,27531;;15066,27531;516993;64985;532059,2753;0,028316911;99109,18961;
2022;Plateau Central;Kourwéogo;MIL;6226,645213;;6226,645213;191813;13833;198039,6452;0,031441408;110044,9267;
2022;Plateau Central;Oubritenga;MIL;7768,077422;;7768,077422;333817;80259;341585,0774;0,022741267;79594,43423;
2022;Sahel;Oudalan;MIL;49143,28906;;49143,28906;165274;602434;214417,2891;0,22919462;802181,1696;
2022;Sahel;Séno;MIL;57363,24348;3378;60741,24348;434993;860906;495734,2435;0,122527835;428847,4217;
2022;Sahel;Soum;MIL;34543,01297;;34543,01297;384202;2204871;418745,013;0,08249176;288721,1589;
2022;Sahel;Yagha;MIL;16198,90304;;16198,90304;181538;148508;197736,903;0,081921497;286725,2383;
2022;Sud Ouest;Bougouriba;MIL;6636,786165;;6636,786165;165322;40191;171958,7862;0,038595214;135083,2493;
2022;Sud Ouest;Ioba;MIL;11312,73102;;11312,73102;282636;6015;293948,731;0,038485388;134698,8587;
2022;Sud Ouest;Noumbiel;MIL;1807,057694;;1807,057694;106220;26689;108027,0577;0,016727825;58547,38678;
2022;Sud Ouest;Poni;MIL;20639,52815;;20639,52815;381962;147739;402601,5281;0,051265399;179428,898;
2022;Boucle du Mouhoun;Balé;MAIS;79131,454;;79131,454;317681;131348;396812,454;0,199417768;715909,7881;
2022;Boucle du Mouhoun;Banwa;MAIS;65722,29265;;65722,29265;368627;21917;434349,2926;0,151312075;529592,2617;
2022;Boucle du Mouhoun;Kossi;MAIS;15075,07391;;15075,07391;378329;199525;393404,0739;0,038319567;134118,4858;
2022;Boucle du Mouhoun;Mouhoun;MAIS;88034,52633;;88034,52633;416756;29126;504790,5263;0,174398135;610393,4723;
2022;Boucle du Mouhoun;Nayala;MAIS;5144,738954;;5144,738954;237102;4168;242246,739;0,021237598;74331,59437;
2022;Boucle du Mouhoun;Sourou;MAIS;30516,50363;;30516,50363;301421;141049;331937,5036;0,091934486;321770,6994;
2022;Cascades;Comoé;MAIS;186226,1478;1500;187726,1478;693374;132965;881100,1478;0,213058809;745705,8302;
2022;Cascades;Léraba;MAIS;53250,32408;;53250,32408;192575;1336;245825,3241;0,216618545;758164,9082;
2022;Centre;Kadiogo;MAIS;19500,29518;;19500,29518;3362048;35474;3381548,295;0,005766677;20183,36785;
2022;Centre Est;Boulgou;MAIS;81180,26098;;81180,26098;788568;55844;869748,261;0,093337653;326681,7839;
2022;Centre Est;Koulpélgo;MAIS;41291,39493;;41291,39493;389720;41917;431011,3949;0,095801168;335304,0869;
2022;Centre Est;Kouritenga;MAIS;16352,38236;;16352,38236;515242;221022;531594,3824;0,030761014;107663,5498;
2022;Centre Nord;Bam;MAIS;2047,746422;;2047,746422;515230;723749;517277,7464;0,003958698;13855,44328;
2022;Centre Nord;Namentenga;MAIS;1583,839646;;1583,839646;553051;962153;554634,8396;0,002855644;9994,753962;
2022;Centre Nord;Sanmatenga;MAIS;5722,004371;;5722,004371;948996;2494166;954718,0044;0,005993397;20976,89078;
2022;Centre Ouest;Boulkièmdé;MAIS;4964,106973;;4964,106973;732470;6056;737434,107;0,006731594;23560,57883;
2022;Centre Ouest;Sanguié;MAIS;10671,53473;;10671,53473;414903;28155;425574,5347;0,025075595;87764,58299;
2022;Centre Ouest;Sissili;MAIS;64421,38807;;64421,38807;364430;52105;428851,3881;0,150218444;525764,5528;
2022;Centre Ouest;Ziro;MAIS;27903,84509;;27903,84509;260560;106193;288463,8451;0,096732556;338563,9465;
2022;Centre Sud;Bazèga;MAIS;30965,26284;;30965,26284;294482;9775;325447,2628;0,095146791;333013,77;
2022;Centre Sud;Nahouri;MAIS;38022,48724;;38022,48724;208297;10818;246319,4872;0,154362481;540268,6846;
2022;Centre Sud;Zoundweogo;MAIS;41276,16655;;41276,16655;331085;17138;372361,1665;0,110849815;387974,3537;
2022;Est;Gnagna;MAIS;6074,736656;;6074,736656;731329;77803;737403,7367;0,008238006;28833,02218;
2022;Est;Gourma;MAIS;17399,08731;;17399,08731;470498;734244;487897,0873;0,035661388;124814,8578;
2022;Est;Komandjoari;MAIS;3716,303152;;3716,303152;114167;181083;117883,3032;0,031525272;110338,4507;
2022;Est;Kompienga;MAIS;20854,00421;;20854,00421;129788;120686;150642,0042;0,138434192;484519,6737;
2022;Est;Tapoa;MAIS;30896,31734;;30896,31734;661426;82363;692322,3173;0,044627071;156194,7491;
2022;Hauts Bassins;Houet;MAIS;211579,2746;7000;218579,2746;1637299;186718;1855878,275;0,11777673;412218,5553;
2022;Hauts Bassins;Kénédougou;MAIS;184767,4377;;184767,4377;431023;32011;615790,4377;0,300049215;1050172,254;
2022;Hauts Bassins;Tuy;MAIS;161282,7998;;161282,7998;355090;64005;516372,7998;0,312337907;1093182,676;
2022;Nord;Loroum;MAIS;482,1119532;;482,1119532;211780;496807;212262,112;0,002271305;7949,56679;
2022;Nord;Passoré;MAIS;3777,021242;;3777,021242;487270;29131;491047,0212;0,007691771;26921,19853;
2022;Nord;Yatenga;MAIS;10927,10598;;10927,10598;884192;1032509;895119,106;0,012207432;42726,01341;
2022;Nord;Zondoma;MAIS;6873,436421;;6873,436421;257295;17688;264168,4364;0,026019143;91067,0018;
2022;Plateau Central;Ganzourgou;MAIS;37924,92874;;37924,92874;516993;64985;554917,9287;0,068343311;239201,5895;
2022;Plateau Central;Kourwéogo;MAIS;650,7714148;;650,7714148;191813;13833;192463,7714;0,003381267;11834,43479;
2022;Plateau Central;Oubritenga;MAIS;7299,432036;;7299,432036;333817;80259;341116,432;0,021398653;74895,28421;
2022;Sahel;Oudalan;MAIS;1,772555852;;1,772555852;165274;602434;165275,7726;1,07248E-05;37,53693228;
2022;Sahel;Séno;MAIS;135,4807364;;135,4807364;434993;860906;435128,4807;0,000311358;1089,753023;
2022;Sahel;Soum;MAIS;929,9199356;;929,9199356;384202;2204871;385131,9199;0,002414549;8450,921895;
2022;Sahel;Yagha;MAIS;553,2080996;;553,2080996;181538;148508;182091,2081;0,003038082;10633,2885;
2022;Sud Ouest;Bougouriba;MAIS;26711,81068;819;27530,81068;165322;40191;192852,8107;0,142755558;499644,4545;
2022;Sud Ouest;Ioba;MAIS;68508,51499;;68508,51499;282636;6015;351144,515;0,195100627;682852,194;
2022;Sud Ouest;Noumbiel;MAIS;26290,69669;;26290,69669;106220;26689;132510,6967;0,198404335;694415,1734;
2022;Sud Ouest;Poni;MAIS;73419,13286;;73419,13286;381962;147739;455381,1329;0,16122568;564289,8804;
2022;Boucle du Mouhoun;Balé;RIZ;3906,795536;;3906,795536;317681;131348;321587,7955;0,012148457;44098,89925;
2022;Boucle du Mouhoun;Banwa;RIZ;21976,97587;;21976,97587;368627;21917;390603,9759;0,056264086;204238,6339;
2022;Boucle du Mouhoun;Kossi;RIZ;1569,357118;;1569,357118;378329;199525;379898,3571;0,004130992;14995,50138;
2022;Boucle du Mouhoun;Mouhoun;RIZ;13132,01167;;13132,01167;416756;29126;429888,0117;0,030547518;110887,4894;
2022;Boucle du Mouhoun;Nayala;RIZ;11267,17369;;11267,17369;237102;4168;248369,1737;0,045364622;164673,578;
2022;Boucle du Mouhoun;Sourou;RIZ;30140,21553;;30140,21553;301421;141049;331561,2155;0,090903924;329981,2441;
2022;Cascades;Comoé;RIZ;47871,39293;;47871,39293;693374;132965;741245,3929;0,064582382;234434,0457;
2022;Cascades;Léraba;RIZ;15085,34225;;15085,34225;192575;1336;207660,3422;0,07264431;263698,8448;
2022;Centre;Kadiogo;RIZ;5670,639567;;5670,639567;3362048;35474;3367718,64;0,001683822;6112,274756;
2022;Centre Est;Boulgou;RIZ;32985,96673;;32985,96673;788568;55844;821553,9667;0,0401507;145747,0405;
2022;Centre Est;Koulpélgo;RIZ;8420,172676;;8420,172676;389720;41917;398140,1727;0,021148764;76770,01446;
2022;Centre Est;Kouritenga;RIZ;7772,860299;;7772,860299;515242;221022;523014,8603;0,014861643;53947,76521;
2022;Centre Nord;Bam;RIZ;2677,068443;;2677,068443;515230;723749;517907,0684;0,005169013;18763,51771;
2022;Centre Nord;Namentenga;RIZ;885,1765548;;885,1765548;553051;962153;553936,1766;0,001597976;5800,651826;
2022;Centre Nord;Sanmatenga;RIZ;7311,07648;;7311,07648;948996;2494166;956307,0765;0,007645114;27751,76329;
2022;Centre Ouest;Boulkièmdé;RIZ;9867,234081;;9867,234081;732470;6056;742337,2341;0,013292118;48250,38819;
2022;Centre Ouest;Sanguié;RIZ;4314,820655;;4314,820655;414903;28155;419217,8207;0,010292551;37361,95888;
2022;Centre Ouest;Sissili;RIZ;5608,106905;;5608,106905;364430;52105;370038,1069;0,015155485;55014,40982;
2022;Centre Ouest;Ziro;RIZ;2674,649796;;2674,649796;260560;106193;263234,6498;0,010160706;36883,36154;
2022;Centre Sud;Bazèga;RIZ;1394,66495;;1394,66495;294482;9775;295876,665;0,00471367;17110,62199;
2022;Centre Sud;Nahouri;RIZ;7154,076083;;7154,076083;208297;10818;215451,0761;0,033205107;120534,5392;
2022;Centre Sud;Zoundweogo;RIZ;15011,12324;;15011,12324;331085;17138;346096,1232;0,0433727;157442,9001;
2022;Est;Gnagna;RIZ;7687,02;;7687,02;731329;77803;739016,02;0,010401696;37758,15658;
2022;Est;Gourma;RIZ;8904,064399;;8904,064399;470498;734244;479402,0644;0,018573271;67420,97327;
2022;Est;Komandjoari;RIZ;36,60438791;;36,60438791;114167;181083;114203,6044;0,000320519;1163,482789;
2022;Est;Kompienga;RIZ;2744,495433;;2744,495433;129788;120686;132532,4954;0,020708094;75170,38285;
2022;Est;Tapoa;RIZ;18290,29063;;18290,29063;661426;82363;679716,2906;0,026908713;97678,62845;
2022;Hauts Bassins;Houet;RIZ;34370,01425;;34370,01425;1637299;186718;1671669,014;0,020560299;74633,88426;
2022;Hauts Bassins;Kénédougou;RIZ;27094,44017;;27094,44017;431023;32011;458117,4402;0,059143001;214689,0932;
2022;Hauts Bassins;Tuy;RIZ;16785,36358;;16785,36358;355090;64005;371875,3636;0,045137068;163847,5569;
2022;Nord;Loroum;RIZ;1989,780496;;1989,780496;211780;496807;213769,7805;0,009308053;33788,23323;
2022;Nord;Passoré;RIZ;5335,40701;;5335,40701;487270;29131;492605,407;0,010830996;39316,51413;
2022;Nord;Yatenga;RIZ;9402,021833;;9402,021833;884192;1032509;893594,0218;0,010521581;38193,33883;
2022;Nord;Zondoma;RIZ;4071,952171;;4071,952171;257295;17688;261366,9522;0,015579445;56553,38695;
2022;Plateau Central;Ganzourgou;RIZ;7090,702083;;7090,702083;516993;64985;524083,7021;0,013529713;49112,85823;
2022;Plateau Central;Kourwéogo;RIZ;3212,189768;;3212,189768;191813;13833;195025,1898;0,01647064;59788,42462;
2022;Plateau Central;Oubritenga;RIZ;2134,517653;;2134,517653;333817;80259;335951,5177;0,006353648;23063,74186;
2022;Sahel;Oudalan;RIZ;102,3;;102,3;165274;602434;165376,3;0,000618589;2245,478947;
2022;Sahel;Séno;RIZ;215,67;;215,67;434993;860906;435208,67;0,000495555;1798,866047;
2022;Sahel;Soum;RIZ;132,75;;132,75;384202;2204871;384334,75;0,000345402;1253,809342;
2022;Sahel;Yagha;RIZ;622,8709473;;622,8709473;181538;148508;182160,8709;0,003419345;12412,22402;
2022;Sud Ouest;Bougouriba;RIZ;1576,213446;600;2176,213446;165322;40191;167498,2134;0,012992458;47162,62129;
2022;Sud Ouest;Ioba;RIZ;7356,999617;;7356,999617;282636;6015;289992,9996;0,025369577;92091,56305;
2022;Sud Ouest;Noumbiel;RIZ;1686,183303;;1686,183303;106220;26689;107906,1833;0,015626383;56723,76878;
2022;Sud Ouest;Poni;RIZ;5222,783237;;5222,783237;381962;147739;387184,7832;0,013489123;48965,51717;
2022;Boucle du Mouhoun;Balé;SORGHO;21418,3358;;21418,3358;317681;131348;339099,3358;0,063162423;216015,4878;
2022;Boucle du Mouhoun;Banwa;SORGHO;67855,60991;;67855,60991;368627;21917;436482,6099;0,155460054;531673,3832;
2022;Boucle du Mouhoun;Kossi;SORGHO;56739,54097;;56739,54097;378329;199525;435068,541;0,130415177;446019,9068;
2022;Boucle du Mouhoun;Mouhoun;SORGHO;112907,3441;;112907,3441;416756;29126;529663,3441;0,213168129;729035,0016;
2022;Boucle du Mouhoun;Nayala;SORGHO;54444,83928;;54444,83928;237102;4168;291546,8393;0,186744742;638667,0176;
2022;Boucle du Mouhoun;Sourou;SORGHO;49916,16372;;49916,16372;301421;141049;351337,1637;0,142074818;485895,8788;
2022;Cascades;Comoé;SORGHO;36123,69556;;36123,69556;693374;132965;729497,6956;0,049518588;169353,5697;
2022;Cascades;Léraba;SORGHO;3853,140997;;3853,140997;192575;1336;196428,141;0,019616034;67086,83462;
2022;Centre;Kadiogo;SORGHO;26742,49306;;26742,49306;3362048;35474;3388790,493;0,007891457;26988,78153;
2022;Centre Est;Boulgou;SORGHO;55422,54297;;55422,54297;788568;55844;843990,543;0,065667256;224582,0152;
2022;Centre Est;Koulpélgo;SORGHO;23540,92355;;23540,92355;389720;41917;413260,9235;0,056963826;194816,2866;
2022;Centre Est;Kouritenga;SORGHO;53341,50968;;53341,50968;515242;221022;568583,5097;0,093814732;320846,3841;
2022;Centre Nord;Bam;SORGHO;43876,3932;;43876,3932;515230;723749;559106,3932;0,078475928;268387,6746;
2022;Centre Nord;Namentenga;SORGHO;35631,41321;;35631,41321;553051;962153;588682,4132;0,060527395;207003,6924;
2022;Centre Nord;Sanmatenga;SORGHO;139070,5792;;139070,5792;948996;2494166;1088066,579;0,127814402;437125,2549;
2022;Centre Ouest;Boulkièmdé;SORGHO;74820,64333;;74820,64333;732470;6056;807290,6433;0,092681172;316969,6098;
2022;Centre Ouest;Sanguié;SORGHO;95907,51684;;95907,51684;414903;28155;510810,5168;0,187755564;642124,0299;
2022;Centre Ouest;Sissili;SORGHO;39423,85041;;39423,85041;364430;52105;403853,8504;0,097619102;333857,3305;
2022;Centre Ouest;Ziro;SORGHO;70120,71853;;70120,71853;260560;106193;330680,7185;0,212049613;725209,6779;
2022;Centre Sud;Bazèga;SORGHO;44634,15347;;44634,15347;294482;9775;339116,1535;0,131619072;450137,2268;
2022;Centre Sud;Nahouri;SORGHO;20885,39943;;20885,39943;208297;10818;229182,3994;0,091130032;311664,7099;
2022;Centre Sud;Zoundweogo;SORGHO;50724,91799;;50724,91799;331085;17138;381809,918;0,132853851;454360,1708;
2022;Est;Gnagna;SORGHO;63141,82526;;63141,82526;731329;77803;794470,8253;0,079476581;271809,9086;
2022;Est;Gourma;SORGHO;73084,04751;500;73584,04751;470498;734244;544082,0475;0,135244395;462535,8319;
2022;Est;Komandjoari;SORGHO;17515,64854;;17515,64854;114167;181083;131682,6485;0,133014097;454908,2105;
2022;Est;Kompienga;SORGHO;14121,30414;;14121,30414;129788;120686;143909,3041;0,098126415;335592,3402;
2022;Est;Tapoa;SORGHO;87269,56004;;87269,56004;661426;82363;748695,56;0,116562144;398642,5341;
2022;Hauts Bassins;Houet;SORGHO;47806,38123;;47806,38123;1637299;186718;1685105,381;0,028369965;97025,28141;
2022;Hauts Bassins;Kénédougou;SORGHO;10039,20615;;10039,20615;431023;32011;441062,2061;0,022761429;77844,08762;
2022;Hauts Bassins;Tuy;SORGHO;25503,53012;;25503,53012;355090;64005;380593,5301;0,067009889;229173,8196;
2022;Nord;Loroum;SORGHO;4700,695132;;4700,695132;211780;496807;216480,6951;0,021714154;74262,40637;
2022;Nord;Passoré;SORGHO;74062,86323;;74062,86323;487270;29131;561332,8632;0,131941078;451238,4876;
2022;Nord;Yatenga;SORGHO;95914,61697;2000;97914,61697;884192;1032509;982106,617;0,099698562;340969,0804;
2022;Nord;Zondoma;SORGHO;28314,64759;;28314,64759;257295;17688;285609,6476;0,099137574;339050,5032;
2022;Plateau Central;Ganzourgou;SORGHO;89678,78063;;89678,78063;516993;64985;606671,7806;0,14782092;505547,5457;
2022;Plateau Central;Kourwéogo;SORGHO;17195,6104;;17195,6104;191813;13833;209008,6104;0,082272258;281371,1237;
2022;Plateau Central;Oubritenga;SORGHO;31254,52292;;31254,52292;333817;80259;365071,5229;0,085612054;292793,2245;
2022;Sahel;Oudalan;SORGHO;4781,865382;;4781,865382;165274;602434;170055,8654;0,028119379;96168,27724;
2022;Sahel;Séno;SORGHO;6358,975685;;6358,975685;434993;860906;441351,9757;0,014407947;49275,17728;
2022;Sahel;Soum;SORGHO;3327,349579;;3327,349579;384202;2204871;387529,3496;0,008586058;29364,3193;
2022;Sahel;Yagha;SORGHO;13603,7274;;13603,7274;181538;148508;195141,7274;0,069712037;238415,1679;
2022;Sud Ouest;Bougouriba;SORGHO;15697,33483;;15697,33483;165322;40191;181019,3348;0,086716344;296569,895;
2022;Sud Ouest;Ioba;SORGHO;57369,15204;;57369,15204;282636;6015;340005,152;0,168730243;577057,4323;
2022;Sud Ouest;Noumbiel;SORGHO;15446,8872;;15446,8872;106220;26689;121666,8872;0,126960487;434204,8641;
2022;Sud Ouest;Poni;SORGHO;40278,70555;;40278,70555;381962;147739;422240,7056;0,095392758;326243,2333;
2022;Boucle du Mouhoun;Balé;NIEBE;6235,97019;;6235,97019;317681;131348;323916,9702;0,019251755;65648,48496;
2022;Boucle du Mouhoun;Banwa;NIEBE;22472,23823;;22472,23823;368627;21917;391099,2382;0,057459172;195935,775;
2022;Boucle du Mouhoun;Kossi;NIEBE;13927,24359;;13927,24359;378329;199525;392256,2436;0,035505473;121073,664;
2022;Boucle du Mouhoun;Mouhoun;NIEBE;16116,6773;;16116,6773;416756;29126;432872,6773;0,037231912;126960,8189;
2022;Boucle du Mouhoun;Nayala;NIEBE;7672,834209;;7672,834209;237102;4168;244774,8342;0,031346499;106891,5632;
2022;Boucle du Mouhoun;Sourou;NIEBE;20844,65673;;20844,65673;301421;141049;322265,6567;0,064681595;220564,2393;
2022;Cascades;Comoé;NIEBE;29107,21562;;29107,21562;693374;132965;722481,2156;0,040287851;137381,5722;
2022;Cascades;Léraba;NIEBE;4631,882631;;4631,882631;192575;1336;197206,8826;0,023487429;80092,13249;
2022;Centre;Kadiogo;NIEBE;10910,13431;;10910,13431;3362048;35474;3372958,134;0,003234589;11029,94954;
2022;Centre Est;Boulgou;NIEBE;21396,06089;;21396,06089;788568;55844;809964,0609;0,026416062;90078,77158;
2022;Centre Est;Koulpélgo;NIEBE;7409,905723;;7409,905723;389720;41917;397129,9057;0,018658644;63625,97767;
2022;Centre Est;Kouritenga;NIEBE;28710,25664;;28710,25664;515242;221022;543952,2566;0,052780839;179982,662;
2022;Centre Nord;Bam;NIEBE;22192,96257;;22192,96257;515230;723749;537422,9626;0,041295151;140816,466;
2022;Centre Nord;Namentenga;NIEBE;13618,8392;;13618,8392;553051;962153;566669,8392;0,024033111;81952,90883;
2022;Centre Nord;Sanmatenga;NIEBE;64576,74707;;64576,74707;948996;2494166;1013572,747;0,063712;217257,9207;
2022;Centre Ouest;Boulkièmdé;NIEBE;40410,81778;;40410,81778;732470;6056;772880,8178;0,052285963;178295,1335;
2022;Centre Ouest;Sanguié;NIEBE;26683,0798;;26683,0798;414903;28155;441586,0798;0,060425546;206051,1105;
2022;Centre Ouest;Sissili;NIEBE;13204,41138;;13204,41138;364430;52105;377634,4114;0,034966123;119234,4804;
