Annee;Region;Province;Culture;Production (t);Stock;Disponibilite;Population;PDI;Pop_tot;Disponibilite/tete;Equivalent Kcal;Besoin Kcal
2019;Plateau Central;Oubritenga;NIEBE;16033;;16033;314609;11009;330642;0,048490512;165352,6473;
2019;Sahel;Oudalan;NIEBE;20910;;20910;158206;150280;179116;0,11673999;398083,365;
2019;Sahel;Séno;NIEBE;12179;;12179;404716;72054;416895;0,029213591;99618,34515;
2019;Sahel;Soum;NIEBE;8990;;8990;363661;1111074;372651;0,024124449;82264,37068;
2019;Sahel;Yagha;NIEBE;650;;650;171594;4258;172244;0,003773716;12868,37277;
2019;Sud Ouest;Bougouriba;NIEBE;5572;;5572;153653;610;159225;0,034994505;119331,2608;
2019;Sud Ouest;Ioba;NIEBE;7353;;7353;265956;412;273309;0,026903615;91741,32575;
2019;Sud Ouest;Noumbiel;NIEBE;2293;;2293;98915;72;101208;0,022656312;77258,02308;
2019;Sud Ouest;Poni;NIEBE;19583;;19583;356918;509;376501;0,052013142;177364,8144;
2020;Boucle du Mouhoun;Balé;NIEBE;5703;;5703;301065;58123;306768;0,018590596;63393,93287;
2020;Boucle du Mouhoun;Banwa;NIEBE;17115;;17115;350541;17080;367656;0,046551668;158741,1874;
2020;Boucle du Mouhoun;Kossi;NIEBE;16707;;16707;360409;139035;377116;0,044302018;151069,883;
2020;Boucle du Mouhoun;Mouhoun;NIEBE;13136;;13136;395815;9010;408951;0,032121208;109533,3182;
2020;Boucle du Mouhoun;Nayala;NIEBE;6372;;6372;225439;2511;231811;0,02748791;93733,7745;
2020;Boucle du Mouhoun;Sourou;NIEBE;19141;;19141;287479;77321;306620;0,062425804;212871,9914;
2020;Cascades;Comoé;NIEBE;10960;;10960;646302;56890;657262;0,016675238;56862,56014;
2020;Cascades;Léraba;NIEBE;2340;;2340;181903;317;184243;0,012700618;43309,10808;
2020;Centre;Kadiogo;NIEBE;10272;;10272;3107564;11561;3117836;0,003294593;11234,56141;
2020;Centre Est;Boulgou;NIEBE;20703;;20703;746943;25914;767646;0,026969462;91965,86708;
2020;Centre Est;Koulpélgo;NIEBE;7200;;7200;367814;40380;375014;0,019199283;65469,5558;
2020;Centre Est;Kouritenga;NIEBE;21295;;21295;486656;125307;507951;0,041923335;142958,5728;
2020;Centre Nord;Bam;NIEBE;22181;;22181;484023;687948,2667;506204;0,043818303;149420,4115;
2020;Centre Nord;Namentenga;NIEBE;18618;;18618;521411;621774,8753;540029;0,034475926;117562,9087;
2020;Centre Nord;Sanmatenga;NIEBE;65920;;65920;896818;3027743,008;962738;0,068471381;233487,4078;
2020;Centre Ouest;Boulkièmdé;NIEBE;47336;;47336;696694;1412;744030;0,063621091;216947,9188;
2020;Centre Ouest;Sanguié;NIEBE;29007;;29007;395251;6336;424258;0,068371133;233145,5624;
2020;Centre Ouest;Sissili;NIEBE;3677;;3677;342590;20247;346267;0,010618973;36210,69868;
2020;Centre Ouest;Ziro;NIEBE;5591;;5591;245437;29094;251028;0,022272416;75948,93797;
2020;Centre Sud;Bazèga;NIEBE;14162;;14162;282453;5776;296615;0,047745394;162811,7931;
2020;Centre Sud;Nahouri;NIEBE;4695;;4695;197910;3017;202605;0,023173169;79020,50788;
2020;Centre Sud;Zoundweogo;NIEBE;8761;;8761;315105;15153;323866;0,027051311;92244,97169;
2020;Est;Gnagna;NIEBE;26928;;26928;687542;34461;714470;0,037689476;128521,1136;
2020;Est;Gourma;NIEBE;14633;;14633;443725;324750;458358;0,031924827;108863,6612;
2020;Est;Komandjoari;NIEBE;2353;;2353;107324;53180;109677;0,021453906;73157,81796;
2020;Est;Kompienga;NIEBE;571;;571;120440;44961;121011;0,004718579;16090,35542;
2020;Est;Tapoa;NIEBE;5756;;5756;617753;39149;623509;0,009231623;31479,83429;
2020;Hauts Bassins;Houet;NIEBE;16315;;16315;1536683;65450;1552998;0,010505487;35823,71001;
2020;Hauts Bassins;Kénédougou;NIEBE;4929;;4929;406042;23896;410971;0,011993547;40897,99524;
2020;Hauts Bassins;Tuy;NIEBE;9930;;9930;334356;32324;344286;0,0288423;98352,24203;
2020;Nord;Loroum;NIEBE;6572;;6572;200616;328823;207188;0,031719984;108165,1447;
2020;Nord;Passoré;NIEBE;28265;;28265;462873;16553;491138;0,057550016;196245,5562;
2020;Nord;Yatenga;NIEBE;61040;;61040;836622;352450;897662;0,067998868;231876,1405;
2020;Nord;Zondoma;NIEBE;11112;;11112;243237;6222;254349;0,043688003;148976,0919;
2020;Plateau Central;Ganzourgou;NIEBE;20362;;20362;489042;26083;509404;0,039972203;136305,2116;
2020;Plateau Central;Kourwéogo;NIEBE;10559;;10559;182860;8893;193419;0,054591328;186156,4272;
2020;Plateau Central;Oubritenga;NIEBE;14788;;14788;317702;93907;332490;0,044476526;151664,9523;
2020;Sahel;Oudalan;NIEBE;56894;;56894;158903;420085;215797;0,263645926;899032,6094;
2020;Sahel;Séno;NIEBE;7849;;7849;410512;931436;418361;0,018761309;63976,06373;
2020;Sahel;Soum;NIEBE;10840;;10840;366677;2337945;377517;0,028713939;97914,531;
2020;Sahel;Yagha;NIEBE;1416;;1416;173106;20443;174522;0,00811359;27667,3428;
2020;Sud Ouest;Bougouriba;NIEBE;5777;;5777;155908;2529;161685;0,035729969;121839,1935;
2020;Sud Ouest;Ioba;NIEBE;3049;;3049;268705;2642;271754;0,011219706;38259,19766;
2020;Sud Ouest;Noumbiel;NIEBE;3987;;3987;100303;9229;104290;0,038229936;130364,0809;
2020;Sud Ouest;Poni;NIEBE;9723;;9723;361483;14447;371206;0,026193003;89318,14141;
2021;Boucle du Mouhoun;Balé;NIEBE;4904;;4904;309327;139863;314231;0,015606353;53217,66471;
